Image_Metadata_Plate,Image_Metadata_Well,Image_FileName_OrigHoechst,Image_Count_Nuclei,Image_Metadata_GeneID,Image_Metadata_GeneSymbol,Image_Metadata_IsLandmark,Image_Metadata_AlleleDesc,Image_Metadata_ExpressionVector,Image_Metadata_FlaggedForToxicity,Image_Metadata_IE_Blast_noBlast,Image_Metadata_IntendedOrfMismatch,Image_Metadata_OpenOrClosed,Image_Metadata_RNAiVirusPlateName,Image_Metadata_Site,Image_Metadata_TimePoint_Hours,Image_Metadata_Type,Image_Metadata_Virus_Vol_ul,Image_Metadata_ASSAY_WELL_ROLE,Image_Metadata_QCFlag_isBlurry,Image_Metadata_QCFlag_isSaturated
41744,l13,taoe005-u2os-72h-cp-a-au00044859_l13_s9_w18b7e1c6a-245e-4a06-b92b-94c17e5e51c7.tif,52,673,BRAF,0,WT.2,pLX304,,1.16,,open,ORA11.12.13.18A,9,72H,"ORF OE",1,Treated,0,0
41744,n05,taoe005-u2os-72h-cp-a-au00044859_n05_s8_w1e93cb6dc-2d70-4bb0-8b72-696b378260e2.tif,23,-43,Luciferase,0,CTRL,pLX304,,0.08,,open,ORA11.12.13.18A,8,72H,"ORF OE",1,CTRL,0,0
41744,m18,taoe005-u2os-72h-cp-a-au00044859_m18_s7_w1e6df5a77-9208-4d6b-bacd-b0b3684189a9.tif,27,91,ACVR1B,0,WT.2.mismatch,pLX304,,1.01,mismatch,open,ORA11.12.13.18A,7,72H,"ORF OE",1,Treated,0,0
41744,l22,taoe005-u2os-72h-cp-a-au00044859_l22_s8_w1f27a0454-4893-425a-9437-7772f134bdfd.tif,105,3516,RBPJ,0,WT.2,pLX304,,1.14,,closed,ORA11.12.13.18A,8,72H,"ORF OE",1,Treated,0,0
41744,l03,taoe005-u2os-72h-cp-a-au00044859_l03_s5_w17970d8de-3751-4c0f-bf1e-d7afb6a5183f.tif,68,7248,TSC1,0,WT.2,pLX304,,0.07,,,ORA11.12.13.18A,5,72H,"ORF OE",1,Treated,0,0
41744,j02,taoe005-u2os-72h-cp-a-au00044859_j02_s6_w12e343edb-9173-4c17-8a14-e12350652ca5.tif,123,,EMPTY,,,,,0.08,,,ORA11.12.13.18A,6,72H,"ORF OE",1,Untreated,0,0
41744,l22,taoe005-u2os-72h-cp-a-au00044859_l22_s3_w1e956e9a2-bd18-49da-8204-74f031a2298d.tif,102,3516,RBPJ,0,WT.2,pLX304,,1.14,,closed,ORA11.12.13.18A,3,72H,"ORF OE",1,Treated,0,0
41744,l14,taoe005-u2os-72h-cp-a-au00044859_l14_s5_w109de77fd-308a-4b64-bcb0-84407640f656.tif,114,84335,AKT1S1,0,WT.1,pLX304,,1.14,,closed,ORA11.12.13.18A,5,72H,"ORF OE",1,Treated,0,0
41744,k07,taoe005-u2os-72h-cp-a-au00044859_k07_s1_w11277c34e-eb1e-4a3b-81ec-7d7cd3fd0ae5.tif,83,331,XIAP,0,WT.2,pLX304,,0.65,,open,ORA11.12.13.18A,1,72H,"ORF OE",1,Treated,0,0
41744,n18,taoe005-u2os-72h-cp-a-au00044859_n18_s1_w1aa23d8c8-a1b1-4150-9478-44ba44fe83ad.tif,69,898,CCNE1,0,WT.mismatch,pLX304,,1.1,mismatch,open,ORA11.12.13.18A,1,72H,"ORF OE",1,Treated,0,0
41744,l02,taoe005-u2os-72h-cp-a-au00044859_l02_s9_w16762b6c7-e0da-4bc1-993c-0f5b18e26200.tif,140,84433,CARD11,0,WT,pLX304,,0.9,,open,ORA11.12.13.18A,9,72H,"ORF OE",1,Treated,0,0
